match_date,competition_name,home_team,home_score,home_elo,home_tries,home_conversion,home_penalty,home_kick,away_team,away_score,away_elo,away_tries,away_conversion,away_penalty,away_kick
2001-06-01,Rugby World Cup Qualifier,Austria,21,2421,3,3,0,0,Israel,6,2460,0,0,2,0
2001-06-01,Rugby World Cup Qualifier,Papua New Guinea,32,2519,2,2,6,0,Solomon Islands,10,2485,1,1,1,0
2001-06-01,Rugby World Cup Qualifier,Cook Islands,86,2505,11,11,3,0,Tahiti,0,2456,0,0,0,0
2001-06-08,Rugby World Cup Qualifier,Norway,7,2402,1,1,0,0,Austria,51,2436,6,6,3,0
2001-06-08,Rugby World Cup Qualifier,Sweden,17,2556,2,2,1,0,Latvia,10,2562,1,1,1,0
2001-06-08,Rugby World Cup Qualifier,Vanuatu,10,2485,1,1,1,0,Papua New Guinea,32,2534,2,2,6,0
2001-06-08,Rugby World Cup Qualifier,Niue Island,8,2484,1,0,1,0,Cook Islands,28,2520,4,4,0,0
2001-06-15,Rugby World Cup Qualifier,Solomon Islands,11,2495,1,0,2,0,Vanuatu,3,2475,0,0,1,0
2001-06-15,Rugby World Cup Qualifier,Tahiti,41,2472,5,5,2,0,Niue Island,6,2469,0,0,2,0
2001-07-21,The Rugby Championship,South Africa,3,2658,0,0,1,0,New Zealand,12,2689,0,0,4,0
2001-07-27,Rugby World Cup Qualifier,Zambia,25,2508,1,1,6,0,Cameroon,24,2490,3,3,1,0
2001-07-28,The Rugby Championship,South Africa,20,2669,2,2,2,0,Australia,15,2710,0,0,5,0
2001-08-10,Rugby World Cup Qualifier,Uganda,21,2509,3,3,0,0,Zambia,12,2498,0,0,4,0
2001-08-11,The Rugby Championship,New Zealand,15,2679,0,0,5,0,Australia,23,2719,2,2,3,0
2001-08-18,The Rugby Championship,Australia,14,2719,2,2,0,0,South Africa,14,2670,2,2,0,0
2001-08-25,The Rugby Championship,New Zealand,26,2688,2,2,4,0,South Africa,15,2661,0,0,5,0
2001-08-27,Rugby World Cup Qualifier,Cameroon,17,2505,2,2,1,0,Uganda,0,2494,0,0,0,0
2001-08-31,Rugby World Cup Qualifier,Botswana,13,2484,1,1,2,0,Swaziland,3,2489,0,0,1,0
2001-09-01,The Rugby Championship,Australia,29,2727,2,2,5,0,New Zealand,26,2680,2,2,4,0
2001-09-01,Premiership Rugby,Gloucester Rugby,22,2527,1,1,5,0,Northampton Saints,9,2577,0,0,3,0
2001-09-01,Premiership Rugby,Harlequins,21,2424,3,3,0,0,London Irish,32,2502,2,2,6,0
2001-09-02,Premiership Rugby,Newcastle Falcons,19,2518,1,1,4,0,Leicester Tigers,16,2757,1,1,3,0
2001-09-02,Premiership Rugby,Yorkshire Carnegie,10,2514,1,1,1,0,Bath Rugby,6,2648,0,0,2,0
2001-09-02,Premiership Rugby,Wasps,12,2655,0,0,4,0,Saracens,8,2581,1,0,1,0
2001-09-02,Premiership Rugby,Bristol Rugby,25,2467,1,1,6,0,Sale Sharks,35,2439,5,5,0,0
2001-09-08,Premiership Rugby,Harlequins,32,2415,2,2,6,0,Bristol Rugby,38,2476,5,5,1,0
2001-09-08,Premiership Rugby,Saracens,34,2590,4,4,2,0,Gloucester Rugby,30,2519,3,3,3,0
